transcripts,tags,speaker,intent
"one two two ifve five , allnippon seven seven four six six",O O O O O O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"singapore tower , good afternoon royal nepal six gate glof five nine right , rfquest pushback and start up",B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN I-CALLSIGN B-GATE I-GATE I-GATE I-GATE I-GATE O O O O O O,pilot,other
"affirm yankee one zero romeo niner left , egypt air wseven",O B-TAXIWAY I-TAXIWAY I-TAXIWAY B-GATE I-GATE I-GATE O B-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"cebu four eight three a very good morning when you re ready for pushback switch over to singapore tower , one two two decimal fise five",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING I-GREETING I-GREETING O O O O O O O O O B-CONTROLLER I-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"iceland zero nine tree apron papa four , ready pushback engine start",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GATE I-GATE I-GATE O B-STATUS O O O,pilot,other
roger etihad five,O B-CALLSIGN I-CALLSIGN,pilot,readback
"thai asia tree switch over to singapore ground , one two one decimal seven two",B-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-CONTROLLER I-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"tower , japanair seven is ready to taxi with klo",B-CONTROLLER O B-CALLSIGN I-CALLSIGN O B-STATUS O O O O,pilot,other
"lion one , standard pushback approved",B-CALLSIGN I-CALLSIGN O O O B-STATUS,controller,pushback
"ground morning , myanmar two eight niner request pushback and start up",B-CONTROLLER B-GREETING O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O O,pilot,other
"jordanian niner three singapore ground , good omrning , standby due traffic , about xour minutes",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING O B-ACTION O O O O O O,controller,standby
ground transnusa two nine wto at mike six lima engine start is successful request pushback,B-CONTROLLER B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE O O O O O O,pilot,other
"cathay six nine si six holding point quebec nine , standby due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY O B-ACTION O O,controller,standby
"china eastern zero zero one singapore tower , a very good morning , standby due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING I-GREETING I-GREETING O B-ACTION O O,controller,standby
"singapore ground , good day , finnair zeqo",B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING O B-CALLSIGN I-CALLSIGN,pilot,greet
wizz five niner one tree proceed echo four niner then hotel fuor aold short golf two six,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-TAXIWAY I-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,taxi
"norwegian niner , unitwed boeing seven eight seven bxn your left will be taxiing off shortly once traffic is cleared india five hoxlding poipnt romeo eight three",B-CALLSIGN I-CALLSIGN O B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O O B-QUALIFIER O O B-ACTION O O O O O O B-TAXIWAY I-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,traffic
asiana nine three one two silankan airbus three two zero will be taxiing off shortly once traffic is cleared taxi romeo seven holding point november six eight,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O O B-ACTION O O O O O O B-ACTION B-TAXIWAY I-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,traffic
"azul six nine , standard pushback approved",B-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-STATUS,controller,pushback
wagonair five two seven one taxi blima eight one bay mike eight lima,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY B-GATE I-GATE I-GATE I-GATE,controller,taxi
tower eastern chia tee seven vacated via golf tree,B-CONTROLLER B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION O B-TAXIWAY I-TAXIWAY,pilot,other
"cebu eight three tower evening , standby number one",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER B-GREETING O B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
"frontier seven seven niner , behind the vaacting jetstar asia from right to left , taxi golf holding point mike runway zero two center",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-ACTION B-VEHICLE I-VEHICLE O B-QUALIFIER I-QUALIFIER I-QUALIFIER O B-ACTION B-TAXIWAY B-ACTION I-ACTION B-TAXIWAY B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,traffic
"one one eight point six , hina southern three five tree four zero , thank you very much",B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GREETING I-GREETING I-GREETING I-GREETING,pilot,readback
"ethiwpian sx tree ground , standby for push number two ethiopian tree",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER O B-ACTION O O O O O O,controller,pushback
ground good evening air fly four ready for push and start,B-CONTROLLER B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN I-CALLSIGN B-STATUS O O O O,pilot,other
scoot seven taxi to quebec hold short of tango six two,B-CALLSIGN I-CALLSIGN B-ACTION O B-TAXIWAY B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,taxi
austrian five tower good afternoon standby nqmber one,B-CALLSIGN I-CALLSIGN B-CONTROLLER B-GREETING I-GREETING B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
"air india nine five ground , evening , standby , about four mintues",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER O B-GREETING O B-ACTION O O O O,controller,standby
"airchina tvree , standard pushback approved",B-CALLSIGN I-CALLSIGN O O O B-STATUS,controller,pushback
"eva five two twjo , singapore ground a very good morning",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER I-CONTROLLER B-GREETING I-GREETING I-GREETING I-GREETING,controller,greet
switch over to ground one two one decimal seven two thai pir asia seven,O O O B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"charlie , hold short golf , hongkong five niner tree nine six",B-TAXIWAY O O O B-TAXIWAY O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"rsilankan five four two four six expedite zulu nine four oscar , hold short of kilo one nine",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-TAXIWAY I-TAXIWAY I-TAXIWAY B-TAXIWAY O B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY,controller,taxi
"emirates one two tree , pushback approved",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O B-STATUS,controller,pushback
"bangkokair seven niner three , switch over to tower , one two one decimal seven two so long",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-GREETING I-GREETING,controller,frequency
"ground srilankan seven , engine start completed at stand xray four six left request pushback",B-CONTROLLER B-CALLSIGN I-CALLSIGN O O O O O B-GATE I-GATE I-GATE I-GATE I-GATE O O,pilot,other
"airasia three one niner tower good afternoon standby due traffic , about three minutes",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER B-GREETING I-GREETING B-ACTION O O O O O O,controller,standby
avianca four seven eight three ground evening standby number two,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER B-GREETING B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
american nine eight four two siox apron mike seven four left ready pushback engine start,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GATE I-GATE I-GATE I-GATE I-GATE B-STATUS O O O,pilot,other
"austrian four four , switch over to ground , one two four decimal three good night",B-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-GREETING I-GREETING,controller,frequency
"air asia one ground standby for push , number two air one",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER B-ACTION O O O O O O O,controller,pushback
"saudia eight united on your right will be taxiing off shortly once traffic is cleared , taxi va charlie , holding point kilo niner",B-CALLSIGN I-CALLSIGN B-VEHICLE O O B-QUALIFIER O O B-ACTION O O O O O O O B-ACTION O B-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY,controller,traffic
"indai three , singapore tower , good day standby number one",B-CALLSIGN I-CALLSIGN O B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
"tower morning , air france seven",B-CONTROLLER B-GREETING O B-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,greet
"good evening bangkokair four five tree nine , we are turn right t taxiway uniform to hold short charlie",B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O O O O B-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY,pilot,other
"singapore ground , flynas seven four three turning right to echo six zero",B-CONTROLLER I-CONTROLLER O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-TAXIWAY I-TAXIWAY I-TAXIWAY,pilot,other
"egylptair five five , tower , good afternoon standby number two",B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER O B-GREETING I-GREETING B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
"wizz two fjur seven eight tree , contact singapore ground , one two two decimal five five , bye bye",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-ACTION B-CONTROLLER I-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-GREETING I-GREETING,controller,frequency
"kuwait eight four , when ready for pushback , monitor ground one two two decimal five five",B-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O O O B-ACTION B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
ethiopian five ground a very good mojning standby due traffic,B-CALLSIGN I-CALLSIGN B-CONTROLLER B-GREETING I-GREETING I-GREETING I-GREETING B-ACTION O O,controller,standby
"singapore ground scanwing tree , engine start ompleted at zulu one right , request pushback",B-CONTROLLER I-CONTROLLER B-CALLSIGN I-CALLSIGN O O O O O B-GATE I-GATE I-GATE O O O,pilot,other
"eva sven six one good afternoon , once you are ready monitor tower at frequency one one eight decimal six",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING O O O O O B-ACTION B-CONTROLLER O O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"silk air eight nine two , evening , switch over to tower one one eight decimal six",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GREETING O O O O B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"eastern china seven tree four rtee evening , contact singapore tower , one two two decimal five five",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING O B-ACTION B-CONTROLLER I-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"philippine niner , pushback approved",B-CALLSIGN I-CALLSIGN O O B-STATUS,controller,pushback
"pia nine tree five six six , good afternoon switch over to tower , one one eight decimal six",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GREETING I-GREETING O O O B-CONTROLLER O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
contact singapore ground one two one seven utwo air india three zero,B-ACTION B-CONTROLLER I-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"india zero five , singapore tower , good afternoon , standby due traffic two minutes",B-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER I-CONTROLLER O B-GREETING I-GREETING O B-ACTION O O O O,controller,standby
iberia two two sierra five three left pushback approbed,B-CALLSIGN I-CALLSIGN I-CALLSIGN B-GATE I-GATE I-GATE I-GATE O B-STATUS,controller,pushback
"wagonair zero two two tower good day , standby number two",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER B-GREETING I-GREETING O B-ACTION B-QUALIFIER I-QUALIFIER,controller,standby
"klm two niner one , hold short of golf seven four , standby due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-ACTION I-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION O O,controller,standby
tower good morning saudija three tree niner,B-CONTROLLER B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,greet
"tower , fairfax nine three two tree",B-CONTROLLER O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,other
"emirates nine nine , switch over to ground one two two decimal five five",B-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY,controller,frequency
"wagonair tree two five , traffic is cathay six five eight taxiing on foxtrot eight four from right to left , confirm your traffic in sight",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE B-ACTION O B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-QUALIFIER I-QUALIFIER I-QUALIFIER O O O O O O,controller,traffic
"american four eight two nine five , bay hotel three eight left , pushback approved to face south",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE I-GATE O O B-STATUS O O B-QUALIFIER,controller,pushback
"etihad four niner three , parking apron golf six pushback approved",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE O B-STATUS,controller,pushback
"nepal six , hold short romeo nine three , standby due traffic",B-CALLSIGN I-CALLSIGN O B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION O O,controller,standby
japaniar five niner nine behind singapore a three five zero on your left taxi oscar five five holding point bravo runway two zero left,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-QUALIFIER B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O O B-QUALIFIER B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION I-ACTION B-TAXIWAY B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,traffic
"speedbird seven five tree nine five , tower evening standby due traffic",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-CONTROLLER B-GREETING B-ACTION O O,controller,standby
etihad nine five hold short delta standby due traffic,B-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION I-ACTION B-TAXIWAY B-ACTION O O,controller,standby
"mike tree , holding point bravo zero one ate delta six niner airfly five four zero zero",B-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY B-GATE I-GATE I-GATE I-GATE B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"contact tower one two four decimal three , caribbean one nine four six niner so long",B-ACTION B-CONTROLLER B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING,pilot,readback
"eurowings tree eight , traffic ahead will be taxiing off shorlty , recleared ujliet four four , hold short juliet",B-CALLSIGN I-CALLSIGN I-CALLSIGN O O B-QUALIFIER O O O O O O B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION O,controller,traffic
etihad one two seven nine niner pushback appromed,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O B-STATUS,controller,pushback
"airsprign nine seven singapore tower standby for push , number tw airspring seven",B-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER I-CONTROLLER B-ACTION O O O O O O O,controller,pushback
"ground , condor four tga gate kilo six nine right engine start is successful , request pushback",B-CONTROLLER O B-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE I-GATE I-GATE O O O O O O O,pilot,other
"holding point bravo six seven , one two four decimal three indonesian one ninr five",B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY O B-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY I-FREQUENCY B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
scoot niner two tree niner behind qantas airbus three three zeor expedite victor hold short november,B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-QUALIFIER B-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE I-VEHICLE O B-TAXIWAY B-ACTION I-ACTION B-TAXIWAY,controller,traffic
"air fly nine four eight seven nine taxi foxtrot hoiding point india three , runwya zero two right",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-ACTION B-TAXIWAY B-ACTION I-ACTION B-TAXIWAY I-TAXIWAY O B-RUNWAY I-RUNWAY I-RUNWAY I-RUNWAY,controller,taxi
singapore tower good day garuda four two,B-CONTROLLER I-CONTROLLER B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,greet
"etihad one , traffic ahead will be taxiing off shortly continue bravo two eight holding point tango",B-CALLSIGN I-CALLSIGN O O B-QUALIFIER O O O O O B-ACTION B-TAXIWAY I-TAXIWAY I-TAXIWAY B-ACTION I-ACTION B-TAXIWAY,controller,traffic
sierra tree continue delta one one eight six airchina one four four six six,B-TAXIWAY I-TAXIWAY B-ACTION B-TAXIWAY O O O O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN,pilot,readback
"air india one niner seven eihg one ground standby for push , number two air one",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-CONTROLLER B-ACTION O O O O O O O,controller,pushback
"singapore ground , airindia three six four seven five good morning",B-CONTROLLER I-CONTROLLER O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING,pilot,greet
"mike iodia roger , pakistan seven nine six bye bce",B-TAXIWAY B-TAXIWAY O O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN B-GREETING I-GREETING,pilot,readback
"good evening , thai asia lree nine , we are turning left to taxiawy uniaoem zero to hold short alpha",B-GREETING I-GREETING O B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O O O O O B-TAXIWAY I-TAXIWAY O B-ACTION I-ACTION B-TAXIWAY,pilot,other
"bruni tree two one , standard pushback approved",B-CALLSIGN I-CALLSIGN I-CALLSIGN I-CALLSIGN O O O B-STATUS,controller,pushback
groud good day transnusa three at juliet four niner engine start csmplete request pushback,B-CONTROLLER B-GREETING I-GREETING B-CALLSIGN I-CALLSIGN O B-GATE I-GATE I-GATE O O O O O,pilot,other
